2018-08-12T08:00:00Z	2019-01-20T01:00:00Z	1
2019-01-20T01:00:00Z	2019-06-18T20:00:00Z	2
2019-06-18T20:00:00Z	2019-11-15T15:00:00Z	3
2019-11-15T15:00:00Z	2020-04-03T09:00:00Z	4
2020-04-03T09:00:00Z	2020-08-02T05:00:00Z	5
2020-08-02T05:00:00Z	2020-11-22T13:00:00Z	6
2020-11-22T13:00:00Z	2021-03-09T04:00:00Z	7
2021-03-09T04:00:00Z	2021-06-19T14:00:00Z	8
2021-06-19T14:00:00Z	2021-09-30T00:00:00Z	9
2021-09-30T00:00:00Z	2022-01-08T12:00:00Z	10
2022-01-08T12:00:00Z	2022-04-14T19:00:00Z	11
2022-04-14T19:00:00Z	2022-07-20T02:00:00Z	12
2022-07-20T02:00:00Z	2022-10-24T10:00:00Z	13
2022-10-24T10:00:00Z	2023-01-28T17:00:00Z	14
2023-01-28T17:00:00Z	2023-05-05T00:00:00Z	15
2023-05-05T00:00:00Z	2023-08-09T07:00:00Z	16
2023-08-09T07:00:00Z	2023-11-13T00:00:00Z	17
2023-11-13T00:00:00Z	2024-02-13T02:00:00Z	18
2024-02-13T02:00:00Z	2024-05-15T03:00:00Z	19
2024-05-15T03:00:00Z	2024-08-15T04:00:00Z	20
2024-08-15T04:00:00Z	2024-11-10T06:00:00Z	21
2024-11-10T06:00:00Z	2025-02-06T17:00:00Z	22
2025-02-06T17:00:00Z	2025-05-06T04:00:00Z	23

