2004-06-30T14:38:00.000Z 2004-07-01T14:38:00.000Z 0
2004-10-27T22:20:00.000Z 2004-10-28T22:20:00.000Z A
2004-12-14T17:51:00.000Z 2004-12-15T17:51:00.000Z B
2005-01-15T18:25:00.000Z 2005-01-16T18:25:00.000Z C
2005-02-16T12:57:00.000Z 2005-02-17T12:57:00.000Z 3
2005-03-08T23:39:00.000Z 2005-03-09T23:39:00.000Z 4
2005-03-29T11:37:00.000Z 2005-03-30T11:37:00.000Z 5
2005-04-14T11:16:00.000Z 2005-04-15T11:16:00.000Z 6
2005-05-02T13:42:00.000Z 2005-05-03T13:42:00.000Z 7
2005-05-20T18:01:00.000Z 2005-05-21T18:01:00.000Z 8
2005-06-07T22:36:00.000Z 2005-06-08T22:36:00.000Z 9
2005-06-26T03:42:00.000Z 2005-06-27T03:42:00.000Z 10
2005-07-14T10:10:00.000Z 2005-07-15T10:10:00.000Z 11
2005-08-01T17:48:00.000Z 2005-08-02T17:48:00.000Z 12
2005-08-19T23:15:00.000Z 2005-08-20T23:15:00.000Z 13
2005-09-04T23:51:00.000Z 2005-09-05T23:51:00.000Z 14
2005-09-23T09:35:00.000Z 2005-09-24T09:35:00.000Z 15
2005-10-11T13:31:00.000Z 2005-10-12T13:31:00.000Z 16
2005-10-29T10:56:00.000Z 2005-10-30T10:56:00.000Z 17
2005-11-26T23:21:00.000Z 2005-11-27T23:21:00.000Z 18
2005-12-24T09:23:00.000Z 2005-12-25T09:23:00.000Z 19
2006-01-16T18:58:00.000Z 2006-01-17T18:58:00.000Z 20
2006-02-24T22:55:00.000Z 2006-02-25T22:55:00.000Z 21
2006-03-20T08:04:00.000Z 2006-03-21T08:04:00.000Z 22
2006-04-28T11:59:00.000Z 2006-04-29T11:59:00.000Z 23
2006-05-21T21:00:00.000Z 2006-05-22T21:00:00.000Z 24
2006-06-30T01:05:00.000Z 2006-07-01T01:05:00.000Z 25
2006-07-23T09:47:00.000Z 2006-07-24T09:47:00.000Z 26
2006-08-16T08:53:00.000Z 2006-08-17T08:53:00.000Z 27
2006-09-09T05:42:00.000Z 2006-09-10T05:42:00.000Z 28
2006-09-25T07:41:00.000Z 2006-09-26T07:41:00.000Z 29
2006-10-11T10:58:00.000Z 2006-10-12T10:58:00.000Z 30
